title,price,link,discount
Motorola | Moto G Stylus 5G 2023 | 128GB Storage | 4GB RAM | Qualcomm SM6450 Snapdragon 6 Gen 1 | 5000 mAh Battery | 50MP Camera | Non PTA Approved | SIM Lock | Mobile Phone,"Rs. 21,000",https://www.daraz.pk/products/5-2023-128-4-qualcomm-sm6450-snapdragon-6-gen-1-5000-50-i1951221734.html,16% Off
Tecno Spark GO 3 4/64,"Rs. 27,200",https://www.daraz.pk/products/tecno-spark-go-3-464-i1948224278.html,16% Off
Moto Stylus 2024 5G - 6.7 Inches Full FHD+ Display - 8GB RAM 128GB ROM - PTA Approved Dual Sim (Physical + E-sim) - Snapdragon 6 Gen 1 - In-Screen Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),"Rs. 39,999",https://www.daraz.pk/products/2024-5g-67-8-128-6-1-i1951604652.html,16% Off
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working","Rs. 17,395",https://www.daraz.pk/products/66-4-64-3000-i1950750341.html,16% Off
Motorola | Moto G 5G 2024 | 128GB Storage | 4GB RAM | Snapdragon 4 Gen 1 | 5000mAh Battery | 6.6″ IPS LCD Display | Non PTA Approved (SIM Lock) | Mobile Phone,"Rs. 19,999",https://www.daraz.pk/products/5-2024-128-4-4-1-5000mah-66-i1951245151.html,16% Off
"Schok Volt SV55 | 2GB Ram 16GB Storage | Andriod Version 11 | Type-C Cable | Non PTA Approve | 3000 MAH Long Lasting Battery | Youtube, Tiktok, FaceBook Working | Amrican Phone | Orginial Stock","Rs. 5,959",https://www.daraz.pk/products/55-2-16-11-3000-i1951132126.html,16% Off
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment","Rs. 28,105",https://www.daraz.pk/products/20-8-128-5000-18-651-13mp-ai-i1950856002.html,16% Off
"Moto G Pure - 6.5 Inches HD+ Display - 3GB RAM + 32GB ROM - SD Card Slot - Original American Stock (Phone + Universal Box, No Charger and Accessories) - NON PTA","Rs. 10,999",https://www.daraz.pk/products/g-65-hd-3gb-32gb-sd-pta-i588832833.html,16% Off
Moto G5G 2024 | 4+2 GB Ram | 5000MAH Battery ! 128GB Stoarge | Gaming Phone | Non PTA (Sim Not Working) | Budget friendly Mobile | Type-c Fast Charging | 50MP Camera | Snapdragon 4 Gen 1 (6nm) Prossor | Gaming Phone On installment | Pubg & FreeFire Suppor,"Rs. 16,486",https://www.daraz.pk/products/5-2024-42-5000mah-128-50-4-1-6nm-i1950419399.html,16% Off
Redmi A5 4GB+128GB - PTA APPROVED,"Rs. 30,999",https://www.daraz.pk/products/redmi-a5-4gb128gb-pta-approved-i932541571.html,16% Off
Tecno SPARK 40 6GB+128GB PTA APPROVED,"Rs. 56,999",https://www.daraz.pk/products/tecno-spark-40-6gb128gb-pta-approved-i916086724.html,16% Off
Tecno SPARK 40 Pro Plus 8GB+256GB PTA APPROVED,"Rs. 61,369",https://www.daraz.pk/products/tecno-spark-40-pro-plus-8gb256gb-pta-approved-i916111041.html,16% Off
"Nothing Phone CMF PHONE 1, 8/128GB - PTA Approved - Nothing Phone","Rs. 75,799",https://www.daraz.pk/products/cmf-1-8128gb-pta-i941757431.html,16% Off
Moto G7 Play - 5.7 Inches Full HD+ Display - 2GB RAM 32GB ROM - PTA Approved Single Sim - Fingerprint Sensor - Mix Color (Phone Only - Charger Box Accessoires Not IIncluded),"Rs. 13,999",https://www.daraz.pk/products/moto-g7-play-57-inches-full-hd-display-2gb-ram-32gb-rom-pta-approved-single-sim-fingerprint-sensor-mix-color-phone-only-charger-box-accessoires-not-iincluded-i913877681.html,16% Off
Samsung Galaxy A07 4GB+64GB - PTA APPROVED,"Rs. 34,999",https://www.daraz.pk/products/samsung-galaxy-a07-4gb64gb-pta-approved-i924758885.html,16% Off
"Vivo Y85a - 6.26"" Full HD Display - Dual Sim - 4GB RAM - 64GB ROM - Snapdragon Processor - Fingerprint Sensor - Android Oreo - Official PTA Approved - Phone And Box Only (No Charger, No Accessories Included)","Rs. 15,999",https://www.daraz.pk/products/y85a-hd-4gb-64gb-pta-i247257465.html,16% Off
Redmi 15C 6GB +128GB - PTA APPROVED,"Rs. 35,799",https://www.daraz.pk/products/redmi-15c-6gb-128gb-pta-approved-i923162414.html,16% Off
OnePlus N100 - 6.5 Inches HD+ Display - Official Approved Single Sim - 4GB RAM + 64GB ROM - Fingerprint Sensor - Phone Only - Midnight Frost,"Rs. 22,999",https://www.daraz.pk/products/oneplus-n100-65-inches-hd-display-official-approved-single-sim-4gb-ram-64gb-rom-fingerprint-sensor-phone-only-midnight-frost-i502626857.html,16% Off
Redmi A5 4 GB RAM ROM 64 Non Scanned - Non Active - PTA APPROVED,"Rs. 25,199",https://www.daraz.pk/products/redmi-a5-4-gb-ram-rom-64-non-scanned-non-active-pta-approved-i801532292.html,16% Off
Infinix Hot 60i 6GB+128GB PTA APPROVED,"Rs. 41,999",https://www.daraz.pk/products/infinix-hot-60i-6gb128gb-pta-approved-i916102582.html,16% Off
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P65 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 20,999",https://www.daraz.pk/products/vivo-y19-653-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p65-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i491993927.html,16% Off
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box - No Accessories Included),"Rs. 19,999",https://www.daraz.pk/products/31-2015-65-8-256-128-128-12-2-8-i940417435.html,16% Off
Tecno Spark GO 3 4/128,"Rs. 31,999",https://www.daraz.pk/products/tecno-spark-go-3-4128-i1948065372.html,16% Off
Samsung Galaxy A07 4GB+128GB - PTA APPROVED,"Rs. 31,999",https://www.daraz.pk/products/samsung-galaxy-a07-4gb128gb-pta-approved-i924759919.html,16% Off
Redmi 15C 4GB +128GB - PTA APPROVED,"Rs. 33,499",https://www.daraz.pk/products/redmi-15c-4gb-128gb-pta-approved-i923138689.html,16% Off
"Nokia 1100 MOBILE PHONE | 1.77"" DISPLAY |","Rs. 3,700",https://www.daraz.pk/products/1100-177-i383997363.html,16% Off
Redmi Note 14 8GB RAM + 256 GB ROM Non Scanned - Non Active - PTA APPROVED,"Rs. 59,999",https://www.daraz.pk/products/redmi-note-14-8gb-ram-256-gb-rom-non-scanned-non-active-pta-approved-i671366617.html,16% Off
ZTE Nubia Music || 8 GB (4+4 DYMANIC RAM) RAM || 128GB ROM || 90Hz Display || 50MP HD Dual Camera Back Camera || 6.6 inches Display,"Rs. 24,500",https://www.daraz.pk/products/zte-nubia-music-wang-8-gb-4-4-dymanic-128gb-90hz-50mp-hd-20-i673873793.html,16% Off
Y6 pro 2019 mobile doul sim 3/64 without box 100% original,"Rs. 13,999",https://www.daraz.pk/products/y6-2019-364-100-i470709010.html,16% Off
"Vivo V15 - 6.53 Inches Full HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM - Motorize Popup Front 32MP Camera - Dual Engine Fast Charging (Phone with Box, NO Charger NO Accessories) - Mix Color","Rs. 23,999",https://www.daraz.pk/products/v15-hd-pta-8gb-653-gb-32mp-i660190867.html,16% Off
Dcode Cygnal X - 6.6 Inches Display - 4GB RAM 64GB ROM - 8MP Front Camera - 13MP Rear Camera - Dual SIM - 5000mAh Battery,"Rs. 22,199",https://www.daraz.pk/products/dcode-x-66-4gb-64gb-8mp-13mp-5000mah-i928957410.html,16% Off
Itel P40 - 4GB Ram - 128GB Rom - Official Warranty,"Rs. 25,700",https://www.daraz.pk/products/4gb-p40-64gb-i462499187.html,16% Off
Vivo Y17 - 6.35 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P35 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 18,999",https://www.daraz.pk/products/vivo-y17-635-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p35-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i491864707.html,16% Off
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box - No Accessories Included),"Rs. 19,999",https://www.daraz.pk/products/a31-cph2015-65-8gb-256gb-128gb-128gb-pta-12mp-2mp-8mp-i1947257861.html,16% Off
"Vivo Y20s (G) - 6.51 HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB Usable, 128GB System Reserved) - 13/2/2 + 8MP Camera (Phone with Box only, No Charger No Accessories Included - Multi Color)","Rs. 23,999",https://www.daraz.pk/products/y20s-g-651-hd-pta-8gb-256gb-1322-8mp-i887522507.html,16% Off
"Oneplus Nord N10 5G (BE2029/BE2028) - Single Sim - 6.49 Inches Full HD+ 90Hrz Display - 6GB RAM + 128GB ROM - Fingerprint Sensonr - Official PTA Approved - 100% Original (Imported Stock, Phone Only, No Box, No Charger, No Accessories Included)","Rs. 34,999",https://www.daraz.pk/products/oneplus-nord-n10-5g-be2029be2028-single-sim-649-inches-full-hd-90hrz-display-6gb-ram-128gb-rom-fingerprint-sensonr-official-pta-approved-100-original-imported-stock-phone-only-no-box-no-charger-no-accessories-included-i485281549.html,16% Off
Moto G Power 2021 - 6.6 Inches Full HD+ Display - 4GB RAM 64GB ROM - PTA Approved Single Sim - Fingerprint Sensor - Mix Color (Phone Only Charger Accessoires Not Included),"Rs. 23,499",https://www.daraz.pk/products/g-2021-hd-4gb-64gb-pta-i913884422.html,16% Off
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P80 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 20,999",https://www.daraz.pk/products/vivo-y19-653-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p80-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i492006432.html,16% Off
"[Official Approved] Oneplus Nord N10 5G (BE2029/BE2028) - Single Sim - 6.49 Inches Full HD+ 90Hrz Display - 6GB RAM + 128GB ROM - Fingerprint Sensonr - PTA Approved - 100% Original (Imported Stock, Phone Only, No Box, No Charger, No Accessories Included)","Rs. 32,999",https://www.daraz.pk/products/n10-5-be2029b2028-649-hd-90hrz-6gb-128gb-pta-100-i483045784.html,16% Off
Motorola One Ace 5G 4/64GB | Single Sim | Mobile Phone,"Rs. 33,999",https://www.daraz.pk/products/ace-5g-464gb-i419883912.html,16% Off
